trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,0,35.2855346456442,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,0,-27.539290244707974,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,13,10.32848069083986,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,6,30.586402000781597,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,24.889246599372157,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,7,13.816517588862753,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,37.06880379072226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,10.721551103088064,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,2.506764961594423,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,23,9.505665939817774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,32.65556840029585,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,27.381860813948077,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,5,-12.324885642092676,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,8,29.428026394349054,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,6,-14.863335936000368,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,True,"{'a': 0, 'e': 0}",25,6,31.065729322560685,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,0,41.17594225696028,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,0,-7.386077329054261,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",20,13,11.731454542620803,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",35,0,48.44777133851696,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",25,14,17.22166366503447,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,13,19.391502489317062,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
